mobilename,rating,price,details
"realme C2 (Diamond Black, 32 GB)  (2 GB RAM)",4.4,"₹7,999",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme 8s 5G (Universe Purple, 128 GB)  (6 GB RAM)",4.4,"₹17,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme C2 (Diamond Black, 32 GB)  (2 GB RAM)",4.4,"₹7,999",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme 8s 5G (Universe Purple, 128 GB)  (6 GB RAM)",4.4,"₹17,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme C2 (Diamond Black, 32 GB)  (2 GB RAM)",4.4,"₹7,999",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme 8s 5G (Universe Purple, 128 GB)  (6 GB RAM)",4.4,"₹17,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme C2 (Diamond Black, 32 GB)  (2 GB RAM)",4.4,"₹7,999",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme 8s 5G (Universe Purple, 128 GB)  (6 GB RAM)",4.4,"₹17,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"SAMSUNG Galaxy F62 (Laser Grey, 128 GB)  (8 GB RAM)",4.3,"₹25,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
SAMSUNG GT-E1215  (Indigo Blue),4.3,"₹1,499",NA ROM
"SAMSUNG Galaxy A13 (Peach, 64 GB)  (4 GB RAM)",4.1,"₹13,945",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"SAMSUNG Galaxy A04e (Copper, 128 GB)  (4 GB RAM)",4.1,"₹11,499",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"SAMSUNG Galaxy S22 Plus 5G (Green, 128 GB)  (8 GB RAM)",4.5,"₹1,01,999",8 GB RAM | 128 GB ROM
"SAMSUNG Galaxy A12 (Black, 64 GB)  (4 GB RAM)",4.1,"₹14,490",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"SAMSUNG Galaxy A04 (Green, 128 GB)  (4 GB RAM)",3.9,"₹12,799",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"SAMSUNG Galaxy A14 (Light Green, 64 GB)  (4 GB RAM)",3.8,"₹13,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"SAMSUNG Galaxy M33 5G (Deep Ocean Blue, 128 GB)  (6 GB RAM)",4.2,"₹17,599",6 GB RAM | 128 GB ROM
"SAMSUNG Galaxy A03s (Black, 32 GB)  (3 GB RAM)",4,"₹8,480",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB
"SAMSUNG Galaxy A72 (Awesome Violet, 128 GB)  (8 GB RAM)",4.3,"₹32,990",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"SAMSUNG Galaxy S22 5G (Phantom Black, 128 GB)  (8 GB RAM)",4.3,"₹52,780",8 GB RAM | 128 GB ROM
"SAMSUNG Galaxy A04s (Green, 128 GB)  (4 GB RAM)",4.2,"₹17,990",4 GB RAM | 128 GB ROM
"SAMSUNG Galaxy S22 5G (Green, 128 GB)  (8 GB RAM)",4.3,"₹54,750",8 GB RAM | 128 GB ROM
"SAMSUNG Galaxy A13 (Peach, 128 GB)  (6 GB RAM)",4.2,"₹16,499",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"SAMSUNG Galaxy Z Flip5 (Cream, 512 GB)  (8 GB RAM)",4.5,"₹1,09,999",8 GB RAM | 512 GB ROM
"SAMSUNG Galaxy A03s (Black, 64 GB)  (4 GB RAM)",4,"₹10,490",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"SAMSUNG Galaxy A50 (White, 64 GB)  (4 GB RAM)",4.3,"₹15,849",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
"SAMSUNG Galaxy A13 (Blue, 128 GB)  (4 GB RAM)",4.1,"₹14,990",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"SAMSUNG Galaxy S22 5G (Phantom Black, 256 GB)  (8 GB RAM)",4.3,"₹62,999",8 GB RAM | 256 GB ROM
"SAMSUNG Galaxy A73 5G (Awesome Gray, 128 GB)  (8 GB RAM)",4.2,"₹41,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"SAMSUNG Galaxy M53 5G (Mystique Green, 128 GB)  (6 GB RAM)",3.8,"₹32,979",6 GB RAM | 128 GB ROM
"SAMSUNG M21 2021 Edition (Charcoal Black, 64 GB)  (4 GB RAM)",4.2,"₹13,999",4 GB RAM | 64 GB ROM
"SAMSUNG Galaxy Z Flip4 5G (Pink Gold, 128 GB)  (8 GB RAM)",3.7,"₹89,999",8 GB RAM | 128 GB ROM
"realme C2 (Diamond Black, 32 GB)  (2 GB RAM)",4.4,"₹7,999",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme 8s 5G (Universe Purple, 128 GB)  (6 GB RAM)",4.4,"₹17,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"SAMSUNG Galaxy F62 (Laser Grey, 128 GB)  (8 GB RAM)",4.3,"₹25,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
SAMSUNG GT-E1215  (Indigo Blue),4.3,"₹1,499",NA ROM
"SAMSUNG Galaxy A13 (Peach, 64 GB)  (4 GB RAM)",4.1,"₹13,945",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"SAMSUNG Galaxy A04e (Copper, 128 GB)  (4 GB RAM)",4.1,"₹11,499",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"SAMSUNG Galaxy S22 Plus 5G (Green, 128 GB)  (8 GB RAM)",4.5,"₹1,01,999",8 GB RAM | 128 GB ROM
"SAMSUNG Galaxy A12 (Black, 64 GB)  (4 GB RAM)",4.1,"₹14,490",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"SAMSUNG Galaxy A04 (Green, 128 GB)  (4 GB RAM)",3.9,"₹12,799",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"SAMSUNG Galaxy A14 (Light Green, 64 GB)  (4 GB RAM)",3.8,"₹13,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"SAMSUNG Galaxy M33 5G (Deep Ocean Blue, 128 GB)  (6 GB RAM)",4.2,"₹17,599",6 GB RAM | 128 GB ROM
"SAMSUNG Galaxy A03s (Black, 32 GB)  (3 GB RAM)",4,"₹8,480",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB
"SAMSUNG Galaxy A72 (Awesome Violet, 128 GB)  (8 GB RAM)",4.3,"₹32,990",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"SAMSUNG Galaxy S22 5G (Phantom Black, 128 GB)  (8 GB RAM)",4.3,"₹52,780",8 GB RAM | 128 GB ROM
"SAMSUNG Galaxy A04s (Green, 128 GB)  (4 GB RAM)",4.2,"₹17,990",4 GB RAM | 128 GB ROM
"SAMSUNG Galaxy S22 5G (Green, 128 GB)  (8 GB RAM)",4.3,"₹54,750",8 GB RAM | 128 GB ROM
"SAMSUNG Galaxy A13 (Peach, 128 GB)  (6 GB RAM)",4.2,"₹16,499",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"SAMSUNG Galaxy Z Flip5 (Cream, 512 GB)  (8 GB RAM)",4.5,"₹1,09,999",8 GB RAM | 512 GB ROM
"SAMSUNG Galaxy A03s (Black, 64 GB)  (4 GB RAM)",4,"₹10,490",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"SAMSUNG Galaxy A50 (White, 64 GB)  (4 GB RAM)",4.3,"₹15,849",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
"SAMSUNG Galaxy A13 (Blue, 128 GB)  (4 GB RAM)",4.1,"₹14,990",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"SAMSUNG Galaxy S22 5G (Phantom Black, 256 GB)  (8 GB RAM)",4.3,"₹62,999",8 GB RAM | 256 GB ROM
"SAMSUNG Galaxy A73 5G (Awesome Gray, 128 GB)  (8 GB RAM)",4.2,"₹41,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"SAMSUNG Galaxy M53 5G (Mystique Green, 128 GB)  (6 GB RAM)",3.8,"₹32,979",6 GB RAM | 128 GB ROM
"SAMSUNG M21 2021 Edition (Charcoal Black, 64 GB)  (4 GB RAM)",4.2,"₹13,999",4 GB RAM | 64 GB ROM
"SAMSUNG Galaxy Z Flip4 5G (Pink Gold, 128 GB)  (8 GB RAM)",3.7,"₹89,999",8 GB RAM | 128 GB ROM
